,good_id,item_name,category_id,category_name,min,avg,max,usd,measure,currency_code,city
0,1,Price per square meter to Buy Apartment Outside of City Center,1,Buy Apartment,3767.37,8048.65,12329.93,"{'min': '3767.37', 'avg': '8048.65', 'max': '12329.93'}",money,USD,New York
1,2,Price per square meter to Buy Apartment in City Center,1,Buy Apartment,10919.0,16308.41,21697.82,"{'min': '10919.00', 'avg': '16308.41', 'max': '21697.82'}",money,USD,New York
2,3,"International Primary School, Yearly for 1 Child",2,Childcare,30000.0,39200.0,50000.0,"{'min': '30000.00', 'avg': '39200.00', 'max': '50000.00'}",money,USD,New York
3,4,"Private Preschool or Kindergarten, Monthly for 1 Child",2,Childcare,1600.0,2479.17,3500.0,"{'min': '1600.00', 'avg': '2479.17', 'max': '3500.00'}",money,USD,New York
4,5,"Pair of Jeans in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,30.0,58.52,100.0,"{'min': '30.00', 'avg': '58.52', 'max': '100.00'}",money,USD,New York
5,6,Pair of Leather Business Shoes,3,Clothing And Shoes,70.0,142.63,275.0,"{'min': '70.00', 'avg': '142.63', 'max': '275.00'}",money,USD,New York
6,7,"Pair of Running Shoes, Mid-Range Price",3,Clothing And Shoes,60.0,89.66,120.0,"{'min': '60.00', 'avg': '89.66', 'max': '120.00'}",money,USD,New York
7,9,"Apples, 1 kg",4,Markets,2.2,6.12,10.04,"{'min': '2.20', 'avg': '6.12', 'max': '10.04'}",money,USD,New York
8,10,"Banana, 1 kg",4,Markets,1.1,2.84,6.61,"{'min': '1.10', 'avg': '2.84', 'max': '6.61'}",money,USD,New York
9,11,"Beef Round or Equivalent Back Leg Red Meat, 1 kg ",4,Markets,9.92,16.28,33.05,"{'min': '9.92', 'avg': '16.28', 'max': '33.05'}",money,USD,New York
10,12,"Bottle of Wine, Mid-Range Price",4,Markets,8.99,15.0,25.0,"{'min': '8.99', 'avg': '15.00', 'max': '25.00'}",money,USD,New York
11,13,"Chicken Breasts, Boneless and Skinless, 1 kg",4,Markets,6.61,13.64,24.25,"{'min': '6.61', 'avg': '13.64', 'max': '24.25'}",money,USD,New York
12,14,"Domestic Beer, 0.5 liter Bottle",4,Markets,1.79,3.06,4.33,"{'min': '1.79', 'avg': '3.06', 'max': '4.33'}",money,USD,New York
13,15,"Eggs, 12 pack",4,Markets,1.79,3.35,5.51,"{'min': '1.79', 'avg': '3.35', 'max': '5.51'}",money,USD,New York
14,17,"Lettuce, 1 head",4,Markets,1.29,2.2,3.11,"{'min': '1.29', 'avg': '2.20', 'max': '3.11'}",money,USD,New York
15,18,"Loaf of Fresh White Bread, 0.5 kg",4,Markets,2.2,3.78,7.15,"{'min': '2.20', 'avg': '3.78', 'max': '7.15'}",money,USD,New York
16,19,"Local Cheese, 1 kg",4,Markets,8.0,15.14,30.84,"{'min': '8.00', 'avg': '15.14', 'max': '30.84'}",money,USD,New York
17,20,"Milk, Regular,1 liter",4,Markets,0.79,1.2,2.11,"{'min': '0.79', 'avg': '1.20', 'max': '2.11'}",money,USD,New York
18,21,"Onion, 1 kg",4,Markets,1.74,3.88,6.61,"{'min': '1.74', 'avg': '3.88', 'max': '6.61'}",money,USD,New York
19,22,"Oranges, 1 kg",4,Markets,2.2,5.22,11.02,"{'min': '2.20', 'avg': '5.22', 'max': '11.02'}",money,USD,New York
20,23,Pack of Cigarettes,4,Markets,13.0,15.0,20.0,"{'min': '13.00', 'avg': '15.00', 'max': '20.00'}",money,USD,New York
21,24,"Potato, 1 kg",4,Markets,1.32,4.18,8.82,"{'min': '1.32', 'avg': '4.18', 'max': '8.82'}",money,USD,New York
22,25,"White Rice, 1 kg",4,Markets,2.2,5.73,11.02,"{'min': '2.20', 'avg': '5.73', 'max': '11.02'}",money,USD,New York
23,26,"Tomato, 1 kg",4,Markets,2.18,5.72,11.0,"{'min': '2.18', 'avg': '5.72', 'max': '11.00'}",money,USD,New York
24,27,"Water, 1.5 liter Bottle",4,Markets,1.0,2.09,3.18,"{'min': '1.00', 'avg': '2.09', 'max': '3.18'}",money,USD,New York
25,28,One bedroom apartment outside of city centre,5,Rent Per Month,1600.0,2010.53,2700.0,"{'min': '1600.00', 'avg': '2010.53', 'max': '2700.00'}",money,USD,New York
26,29,One bedroom apartment in city centre,5,Rent Per Month,2500.0,3364.29,4507.0,"{'min': '2500.00', 'avg': '3364.29', 'max': '4507.00'}",money,USD,New York
27,30,Three bedroom apartment outside of city centre,5,Rent Per Month,2400.0,3482.68,5000.0,"{'min': '2400.00', 'avg': '3482.68', 'max': '5000.00'}",money,USD,New York
28,31,Three bedroom apartment in city centre,5,Rent Per Month,4500.0,6560.09,10000.0,"{'min': '4500.00', 'avg': '6560.09', 'max': '10000.00'}",money,USD,New York
29,32,Cappuccino,6,Restaurants,3.5,4.82,6.14,"{'min': '3.50', 'avg': '4.82', 'max': '6.14'}",money,USD,New York
30,33,"Coca-Cola, 0.33 liter Bottle",6,Restaurants,1.5,2.17,3.0,"{'min': '1.50', 'avg': '2.17', 'max': '3.00'}",money,USD,New York
31,34,"Domestic Beer, 0.5 liter Draught",6,Restaurants,5.0,7.35,10.0,"{'min': '5.00', 'avg': '7.35', 'max': '10.00'}",money,USD,New York
32,35,"Imported Beer, 0.33 liter Bottle",6,Restaurants,7.0,8.73,12.0,"{'min': '7.00', 'avg': '8.73', 'max': '12.00'}",money,USD,New York
33,36,McMeal at McDonalds or Alternative Combo Meal,6,Restaurants,8.0,9.5,11.0,"{'min': '8.00', 'avg': '9.50', 'max': '11.00'}",money,USD,New York
34,37,"Meal for 2 People, Mid-range Restaurant, Three-course",6,Restaurants,70.0,100.0,150.0,"{'min': '70.00', 'avg': '100.00', 'max': '150.00'}",money,USD,New York
35,38,Meal in Inexpensive Restaurant,6,Restaurants,12.0,20.0,40.0,"{'min': '12.00', 'avg': '20.00', 'max': '40.00'}",money,USD,New York
36,40,"Average Monthly Net Salary, After Tax",7,Salaries And Financing,5420.69,6022.99,6625.29,"{'min': '5420.69', 'avg': '6022.99', 'max': '6625.29'}",money,USD,New York
37,42,"Cinema ticket, 1 Seat",8,Sports And Leisure,15.0,16.0,20.0,"{'min': '15.00', 'avg': '16.00', 'max': '20.00'}",money,USD,New York
38,43,"Fitness Club, Monthly Fee for 1 Adult",8,Sports And Leisure,25.0,86.16,180.0,"{'min': '25.00', 'avg': '86.16', 'max': '180.00'}",money,USD,New York
39,44,"Tennis Court Rent, 1 Hour on Weekend",8,Sports And Leisure,20.0,36.75,53.5,"{'min': '20.00', 'avg': '36.75', 'max': '53.50'}",money,USD,New York
40,45,"Gasoline, 1 liter",9,Transportation,0.58,0.71,0.87,"{'min': '0.58', 'avg': '0.71', 'max': '0.87'}",money,USD,New York
41,46,"Monthly Pass, Regular Price",9,Transportation,114.3,127.0,139.7,"{'min': '114.30', 'avg': '127.00', 'max': '139.70'}",money,USD,New York
42,47,"One-way Ticket, Local Transport",9,Transportation,2.48,2.75,3.03,"{'min': '2.48', 'avg': '2.75', 'max': '3.03'}",money,USD,New York
43,48,"Taxi, price for 1 hour Waiting, Normal Tariff",9,Transportation,30.0,35.0,60.0,"{'min': '30.00', 'avg': '35.00', 'max': '60.00'}",money,USD,New York
44,49,"Taxi, price for 1 km, Normal Tariff",9,Transportation,1.55,1.86,3.11,"{'min': '1.55', 'avg': '1.86', 'max': '3.11'}",money,USD,New York
45,50,"Taxi Start, Normal Tariff",9,Transportation,2.5,3.5,6.0,"{'min': '2.50', 'avg': '3.50', 'max': '6.00'}",money,USD,New York
46,52,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),9,Transportation,20000.0,22000.0,30000.0,"{'min': '20000.00', 'avg': '22000.00', 'max': '30000.00'}",money,USD,New York
47,53,"Prepaid Mobile Tariff Local, price per 1 min, No Discounts or Plans",10,Utilities Per Month,0.05,0.11,0.17,"{'min': '0.05', 'avg': '0.11', 'max': '0.17'}",money,USD,New York
48,54,"Basic utilities for 85 square meter Apartment including Electricity, Heating or Cooling, Water and Garbage",10,Utilities Per Month,80.0,148.86,255.0,"{'min': '80.00', 'avg': '148.86', 'max': '255.00'}",money,USD,New York
49,55,"Internet, 60 Mbps or More, Unlimited Data, Cable/ADSL",10,Utilities Per Month,49.0,64.06,90.0,"{'min': '49.00', 'avg': '64.06', 'max': '90.00'}",money,USD,New York
50,58,"Water, 0.33 liter Bottle",4,Markets,1.25,1.75,3.0,"{'min': '1.25', 'avg': '1.75', 'max': '3.00'}",money,USD,New York
51,64,"Summer Dress in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,17.0,41.8,70.0,"{'min': '17.00', 'avg': '41.80', 'max': '70.00'}",money,USD,New York
52,65,"Mortgage Interest Rate in Percentages for 20 Years Fixed-Rate, Yearly, Fixed-Rate",7,Salaries And Financing,3.39,3.77,4.15,,percent,,New York
53,68,"Imported Beer, 0.33 liter Bottle",4,Markets,2.0,3.01,5.0,"{'min': '2.00', 'avg': '3.01', 'max': '5.00'}",money,USD,New York
54,4,"Private Preschool or Kindergarten, Monthly for 1 Child",2,Childcare,150.0,166.67,183.34,"{'min': '150.00', 'avg': '166.67', 'max': '183.34'}",money,USD,Harper Woods
55,5,"Pair of Jeans in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,32.0,41.0,50.0,"{'min': '32.00', 'avg': '41.00', 'max': '50.00'}",money,USD,Harper Woods
56,6,Pair of Leather Business Shoes,3,Clothing And Shoes,55.0,67.5,100.0,"{'min': '55.00', 'avg': '67.50', 'max': '100.00'}",money,USD,Harper Woods
