,good_id,item_name,category_id,category_name,min,avg,max,usd,measure,currency_code,city
73,55,"Internet, 60 Mbps or More, Unlimited Data, Cable/ADSL",10,Utilities Per Month,27.0,30.0,33.0,"{'min': '27.00', 'avg': '30.00', 'max': '33.00'}",money,USD,Middletown
74,58,"Water, 0.33 liter Bottle",4,Markets,1.16,1.29,1.42,"{'min': '1.16', 'avg': '1.29', 'max': '1.42'}",money,USD,Middletown
75,64,"Summer Dress in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,16.2,18.0,19.8,"{'min': '16.20', 'avg': '18.00', 'max': '19.80'}",money,USD,Middletown
76,65,"Mortgage Interest Rate in Percentages for 20 Years Fixed-Rate, Yearly, Fixed-Rate",7,Salaries And Financing,2.7,3.0,3.3,,percent,,Middletown
77,1,Price per square meter to Buy Apartment Outside of City Center,1,Buy Apartment,1022.57,1272.72,1883.68,"{'min': '1022.57', 'avg': '1272.72', 'max': '1883.68'}",money,USD,Houston
78,2,Price per square meter to Buy Apartment in City Center,1,Buy Apartment,1937.5,2662.39,4155.22,"{'min': '1937.50', 'avg': '2662.39', 'max': '4155.22'}",money,USD,Houston
79,3,"International Primary School, Yearly for 1 Child",2,Childcare,15000.0,21291.67,27583.34,"{'min': '15000.00', 'avg': '21291.67', 'max': '27583.34'}",money,USD,Houston
80,4,"Private Preschool or Kindergarten, Monthly for 1 Child",2,Childcare,550.0,875.87,1400.0,"{'min': '550.00', 'avg': '875.87', 'max': '1400.00'}",money,USD,Houston
81,5,"Pair of Jeans in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,20.0,42.27,64.54,"{'min': '20.00', 'avg': '42.27', 'max': '64.54'}",money,USD,Houston
82,6,Pair of Leather Business Shoes,3,Clothing And Shoes,50.0,97.33,199.0,"{'min': '50.00', 'avg': '97.33', 'max': '199.00'}",money,USD,Houston
83,7,"Pair of Running Shoes, Mid-Range Price",3,Clothing And Shoes,50.0,73.92,100.0,"{'min': '50.00', 'avg': '73.92', 'max': '100.00'}",money,USD,Houston
84,9,"Apples, 1 kg",4,Markets,1.81,4.17,7.72,"{'min': '1.81', 'avg': '4.17', 'max': '7.72'}",money,USD,Houston
85,10,"Banana, 1 kg",4,Markets,0.86,1.28,3.09,"{'min': '0.86', 'avg': '1.28', 'max': '3.09'}",money,USD,Houston
86,11,"Beef Round or Equivalent Back Leg Red Meat, 1 kg ",4,Markets,6.59,11.94,19.82,"{'min': '6.59', 'avg': '11.94', 'max': '19.82'}",money,USD,Houston
87,12,"Bottle of Wine, Mid-Range Price",4,Markets,8.99,12.0,17.49,"{'min': '8.99', 'avg': '12.00', 'max': '17.49'}",money,USD,Houston
88,13,"Chicken Breasts, Boneless and Skinless, 1 kg",4,Markets,4.39,7.91,13.98,"{'min': '4.39', 'avg': '7.91', 'max': '13.98'}",money,USD,Houston
89,14,"Domestic Beer, 0.5 liter Bottle",4,Markets,1.29,2.14,2.99,"{'min': '1.29', 'avg': '2.14', 'max': '2.99'}",money,USD,Houston
90,15,"Eggs, 12 pack",4,Markets,1.0,1.93,3.0,"{'min': '1.00', 'avg': '1.93', 'max': '3.00'}",money,USD,Houston
91,17,"Lettuce, 1 head",4,Markets,0.99,1.44,2.0,"{'min': '0.99', 'avg': '1.44', 'max': '2.00'}",money,USD,Houston
92,18,"Loaf of Fresh White Bread, 0.5 kg",4,Markets,1.1,2.51,4.39,"{'min': '1.10', 'avg': '2.51', 'max': '4.39'}",money,USD,Houston
93,19,"Local Cheese, 1 kg",4,Markets,5.07,9.58,17.86,"{'min': '5.07', 'avg': '9.58', 'max': '17.86'}",money,USD,Houston
94,20,"Milk, Regular,1 liter",4,Markets,0.53,0.78,1.06,"{'min': '0.53', 'avg': '0.78', 'max': '1.06'}",money,USD,Houston
95,21,"Onion, 1 kg",4,Markets,1.1,1.93,2.87,"{'min': '1.10', 'avg': '1.93', 'max': '2.87'}",money,USD,Houston
96,22,"Oranges, 1 kg",4,Markets,1.1,3.5,8.82,"{'min': '1.10', 'avg': '3.50', 'max': '8.82'}",money,USD,Houston
97,23,Pack of Cigarettes,4,Markets,6.0,7.8,9.6,"{'min': '6.00', 'avg': '7.80', 'max': '9.60'}",money,USD,Houston
98,24,"Potato, 1 kg",4,Markets,0.99,2.27,6.61,"{'min': '0.99', 'avg': '2.27', 'max': '6.61'}",money,USD,Houston
99,25,"White Rice, 1 kg",4,Markets,1.41,3.32,6.61,"{'min': '1.41', 'avg': '3.32', 'max': '6.61'}",money,USD,Houston
100,26,"Tomato, 1 kg",4,Markets,1.1,2.85,6.61,"{'min': '1.10', 'avg': '2.85', 'max': '6.61'}",money,USD,Houston
101,27,"Water, 1.5 liter Bottle",4,Markets,0.99,1.52,3.0,"{'min': '0.99', 'avg': '1.52', 'max': '3.00'}",money,USD,Houston
102,28,One bedroom apartment outside of city centre,5,Rent Per Month,822.39,970.07,1200.0,"{'min': '822.39', 'avg': '970.07', 'max': '1200.00'}",money,USD,Houston
103,29,One bedroom apartment in city centre,5,Rent Per Month,1200.0,1399.72,2000.0,"{'min': '1200.00', 'avg': '1399.72', 'max': '2000.00'}",money,USD,Houston
104,30,Three bedroom apartment outside of city centre,5,Rent Per Month,1412.9,1646.15,2500.0,"{'min': '1412.90', 'avg': '1646.15', 'max': '2500.00'}",money,USD,Houston
105,31,Three bedroom apartment in city centre,5,Rent Per Month,2000.0,2433.63,3000.0,"{'min': '2000.00', 'avg': '2433.63', 'max': '3000.00'}",money,USD,Houston
106,32,Cappuccino,6,Restaurants,2.0,4.07,7.0,"{'min': '2.00', 'avg': '4.07', 'max': '7.00'}",money,USD,Houston
107,33,"Coca-Cola, 0.33 liter Bottle",6,Restaurants,1.25,1.7,2.5,"{'min': '1.25', 'avg': '1.70', 'max': '2.50'}",money,USD,Houston
108,34,"Domestic Beer, 0.5 liter Draught",6,Restaurants,3.0,5.38,8.0,"{'min': '3.00', 'avg': '5.38', 'max': '8.00'}",money,USD,Houston
109,35,"Imported Beer, 0.33 liter Bottle",6,Restaurants,5.0,7.0,10.0,"{'min': '5.00', 'avg': '7.00', 'max': '10.00'}",money,USD,Houston
110,36,McMeal at McDonalds or Alternative Combo Meal,6,Restaurants,6.25,8.0,9.75,"{'min': '6.25', 'avg': '8.00', 'max': '9.75'}",money,USD,Houston
111,37,"Meal for 2 People, Mid-range Restaurant, Three-course",6,Restaurants,40.0,50.0,100.0,"{'min': '40.00', 'avg': '50.00', 'max': '100.00'}",money,USD,Houston
112,38,Meal in Inexpensive Restaurant,6,Restaurants,7.5,15.0,30.0,"{'min': '7.50', 'avg': '15.00', 'max': '30.00'}",money,USD,Houston
113,40,"Average Monthly Net Salary, After Tax",7,Salaries And Financing,4011.54,4457.27,4903.0,"{'min': '4011.54', 'avg': '4457.27', 'max': '4903.00'}",money,USD,Houston
114,42,"Cinema ticket, 1 Seat",8,Sports And Leisure,9.0,12.0,15.0,"{'min': '9.00', 'avg': '12.00', 'max': '15.00'}",money,USD,Houston
115,43,"Fitness Club, Monthly Fee for 1 Adult",8,Sports And Leisure,20.0,38.3,63.0,"{'min': '20.00', 'avg': '38.30', 'max': '63.00'}",money,USD,Houston
116,44,"Tennis Court Rent, 1 Hour on Weekend",8,Sports And Leisure,5.0,14.78,24.56,"{'min': '5.00', 'avg': '14.78', 'max': '24.56'}",money,USD,Houston
117,45,"Gasoline, 1 liter",9,Transportation,0.44,0.53,0.66,"{'min': '0.44', 'avg': '0.53', 'max': '0.66'}",money,USD,Houston
118,46,"Monthly Pass, Regular Price",9,Transportation,30.0,40.0,90.0,"{'min': '30.00', 'avg': '40.00', 'max': '90.00'}",money,USD,Houston
119,47,"One-way Ticket, Local Transport",9,Transportation,1.12,1.25,1.38,"{'min': '1.12', 'avg': '1.25', 'max': '1.38'}",money,USD,Houston
120,48,"Taxi, price for 1 hour Waiting, Normal Tariff",9,Transportation,21.6,24.0,26.4,"{'min': '21.60', 'avg': '24.00', 'max': '26.40'}",money,USD,Houston
121,49,"Taxi, price for 1 km, Normal Tariff",9,Transportation,1.4,1.49,3.73,"{'min': '1.40', 'avg': '1.49', 'max': '3.73'}",money,USD,Houston
122,50,"Taxi Start, Normal Tariff",9,Transportation,2.75,3.0,3.25,"{'min': '2.75', 'avg': '3.00', 'max': '3.25'}",money,USD,Houston
123,52,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),9,Transportation,21845.0,23195.0,27500.0,"{'min': '21845.00', 'avg': '23195.00', 'max': '27500.00'}",money,USD,Houston
124,53,"Prepaid Mobile Tariff Local, price per 1 min, No Discounts or Plans",10,Utilities Per Month,0.1,0.2,0.3,"{'min': '0.10', 'avg': '0.20', 'max': '0.30'}",money,USD,Houston
125,54,"Basic utilities for 85 square meter Apartment including Electricity, Heating or Cooling, Water and Garbage",10,Utilities Per Month,75.99,158.38,250.0,"{'min': '75.99', 'avg': '158.38', 'max': '250.00'}",money,USD,Houston
126,55,"Internet, 60 Mbps or More, Unlimited Data, Cable/ADSL",10,Utilities Per Month,40.0,62.92,90.0,"{'min': '40.00', 'avg': '62.92', 'max': '90.00'}",money,USD,Houston
127,58,"Water, 0.33 liter Bottle",4,Markets,1.0,1.64,2.5,"{'min': '1.00', 'avg': '1.64', 'max': '2.50'}",money,USD,Houston
128,64,"Summer Dress in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,16.0,35.33,60.0,"{'min': '16.00', 'avg': '35.33', 'max': '60.00'}",money,USD,Houston
129,65,"Mortgage Interest Rate in Percentages for 20 Years Fixed-Rate, Yearly, Fixed-Rate",7,Salaries And Financing,3.31,3.68,4.05,,percent,,Houston
130,68,"Imported Beer, 0.33 liter Bottle",4,Markets,1.35,2.52,4.0,"{'min': '1.35', 'avg': '2.52', 'max': '4.00'}",money,USD,Houston
131,1,Price per square meter to Buy Apartment Outside of City Center,1,Buy Apartment,3953.04,5461.13,8611.13,"{'min': '3953.04', 'avg': '5461.13', 'max': '8611.13'}",money,USD,Boston
132,2,Price per square meter to Buy Apartment in City Center,1,Buy Apartment,7534.74,11158.52,15723.67,"{'min': '7534.74', 'avg': '11158.52', 'max': '15723.67'}",money,USD,Boston
133,3,"International Primary School, Yearly for 1 Child",2,Childcare,12000.0,26250.0,48000.0,"{'min': '12000.00', 'avg': '26250.00', 'max': '48000.00'}",money,USD,Boston
134,4,"Private Preschool or Kindergarten, Monthly for 1 Child",2,Childcare,1000.0,1811.38,2622.76,"{'min': '1000.00', 'avg': '1811.38', 'max': '2622.76'}",money,USD,Boston
135,5,"Pair of Jeans in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,30.0,47.41,64.82,"{'min': '30.00', 'avg': '47.41', 'max': '64.82'}",money,USD,Boston
136,6,Pair of Leather Business Shoes,3,Clothing And Shoes,60.0,116.36,185.0,"{'min': '60.00', 'avg': '116.36', 'max': '185.00'}",money,USD,Boston
137,7,"Pair of Running Shoes, Mid-Range Price",3,Clothing And Shoes,50.0,80.15,120.0,"{'min': '50.00', 'avg': '80.15', 'max': '120.00'}",money,USD,Boston
138,9,"Apples, 1 kg",4,Markets,1.98,5.44,8.9,"{'min': '1.98', 'avg': '5.44', 'max': '8.90'}",money,USD,Boston
139,10,"Banana, 1 kg",4,Markets,1.04,1.81,4.41,"{'min': '1.04', 'avg': '1.81', 'max': '4.41'}",money,USD,Boston
140,11,"Beef Round or Equivalent Back Leg Red Meat, 1 kg ",4,Markets,8.8,17.05,25.3,"{'min': '8.80', 'avg': '17.05', 'max': '25.30'}",money,USD,Boston
141,12,"Bottle of Wine, Mid-Range Price",4,Markets,10.0,15.0,30.0,"{'min': '10.00', 'avg': '15.00', 'max': '30.00'}",money,USD,Boston
142,13,"Chicken Breasts, Boneless and Skinless, 1 kg",4,Markets,6.59,12.07,17.64,"{'min': '6.59', 'avg': '12.07', 'max': '17.64'}",money,USD,Boston
143,14,"Domestic Beer, 0.5 liter Bottle",4,Markets,1.43,2.62,3.81,"{'min': '1.43', 'avg': '2.62', 'max': '3.81'}",money,USD,Boston
144,15,"Eggs, 12 pack",4,Markets,1.5,2.58,4.0,"{'min': '1.50', 'avg': '2.58', 'max': '4.00'}",money,USD,Boston
145,17,"Lettuce, 1 head",4,Markets,1.0,2.12,4.0,"{'min': '1.00', 'avg': '2.12', 'max': '4.00'}",money,USD,Boston
146,18,"Loaf of Fresh White Bread, 0.5 kg",4,Markets,1.5,3.16,5.51,"{'min': '1.50', 'avg': '3.16', 'max': '5.51'}",money,USD,Boston
147,19,"Local Cheese, 1 kg",4,Markets,8.33,15.42,26.46,"{'min': '8.33', 'avg': '15.42', 'max': '26.46'}",money,USD,Boston
148,20,"Milk, Regular,1 liter",4,Markets,0.63,0.9,1.17,"{'min': '0.63', 'avg': '0.90', 'max': '1.17'}",money,USD,Boston
149,21,"Onion, 1 kg",4,Markets,1.1,4.15,8.82,"{'min': '1.10', 'avg': '4.15', 'max': '8.82'}",money,USD,Boston
150,22,"Oranges, 1 kg",4,Markets,2.2,5.34,13.23,"{'min': '2.20', 'avg': '5.34', 'max': '13.23'}",money,USD,Boston
151,23,Pack of Cigarettes,4,Markets,11.0,12.0,15.0,"{'min': '11.00', 'avg': '12.00', 'max': '15.00'}",money,USD,Boston
152,24,"Potato, 1 kg",4,Markets,0.88,1.32,2.2,"{'min': '0.88', 'avg': '1.32', 'max': '2.20'}",money,USD,Boston
153,25,"White Rice, 1 kg",4,Markets,2.2,5.12,11.02,"{'min': '2.20', 'avg': '5.12', 'max': '11.02'}",money,USD,Boston
154,26,"Tomato, 1 kg",4,Markets,1.65,6.15,11.02,"{'min': '1.65', 'avg': '6.15', 'max': '11.02'}",money,USD,Boston
155,27,"Water, 1.5 liter Bottle",4,Markets,1.5,2.22,4.0,"{'min': '1.50', 'avg': '2.22', 'max': '4.00'}",money,USD,Boston
156,28,One bedroom apartment outside of city centre,5,Rent Per Month,1500.0,1912.55,2325.1,"{'min': '1500.00', 'avg': '1912.55', 'max': '2325.10'}",money,USD,Boston
157,29,One bedroom apartment in city centre,5,Rent Per Month,2300.0,2689.86,3300.0,"{'min': '2300.00', 'avg': '2689.86', 'max': '3300.00'}",money,USD,Boston
158,30,Three bedroom apartment outside of city centre,5,Rent Per Month,2500.0,2923.2,4000.0,"{'min': '2500.00', 'avg': '2923.20', 'max': '4000.00'}",money,USD,Boston
159,31,Three bedroom apartment in city centre,5,Rent Per Month,3500.0,4415.22,8000.0,"{'min': '3500.00', 'avg': '4415.22', 'max': '8000.00'}",money,USD,Boston
160,32,Cappuccino,6,Restaurants,3.0,4.32,5.64,"{'min': '3.00', 'avg': '4.32', 'max': '5.64'}",money,USD,Boston
161,33,"Coca-Cola, 0.33 liter Bottle",6,Restaurants,1.75,2.31,3.0,"{'min': '1.75', 'avg': '2.31', 'max': '3.00'}",money,USD,Boston
162,34,"Domestic Beer, 0.5 liter Draught",6,Restaurants,5.0,7.0,9.0,"{'min': '5.00', 'avg': '7.00', 'max': '9.00'}",money,USD,Boston
163,35,"Imported Beer, 0.33 liter Bottle",6,Restaurants,6.0,8.0,10.0,"{'min': '6.00', 'avg': '8.00', 'max': '10.00'}",money,USD,Boston
164,36,McMeal at McDonalds or Alternative Combo Meal,6,Restaurants,8.0,9.0,10.0,"{'min': '8.00', 'avg': '9.00', 'max': '10.00'}",money,USD,Boston
165,37,"Meal for 2 People, Mid-range Restaurant, Three-course",6,Restaurants,60.0,80.0,130.0,"{'min': '60.00', 'avg': '80.00', 'max': '130.00'}",money,USD,Boston
166,38,Meal in Inexpensive Restaurant,6,Restaurants,15.0,20.0,38.0,"{'min': '15.00', 'avg': '20.00', 'max': '38.00'}",money,USD,Boston
167,40,"Average Monthly Net Salary, After Tax",7,Salaries And Financing,4507.9,5008.78,5509.66,"{'min': '4507.90', 'avg': '5008.78', 'max': '5509.66'}",money,USD,Boston
168,42,"Cinema ticket, 1 Seat",8,Sports And Leisure,12.75,15.0,20.0,"{'min': '12.75', 'avg': '15.00', 'max': '20.00'}",money,USD,Boston
169,43,"Fitness Club, Monthly Fee for 1 Adult",8,Sports And Leisure,20.0,62.53,135.0,"{'min': '20.00', 'avg': '62.53', 'max': '135.00'}",money,USD,Boston
170,44,"Tennis Court Rent, 1 Hour on Weekend",8,Sports And Leisure,10.0,21.43,32.86,"{'min': '10.00', 'avg': '21.43', 'max': '32.86'}",money,USD,Boston
171,45,"Gasoline, 1 liter",9,Transportation,0.53,0.66,0.9,"{'min': '0.53', 'avg': '0.66', 'max': '0.90'}",money,USD,Boston
172,46,"Monthly Pass, Regular Price",9,Transportation,81.0,90.0,99.0,"{'min': '81.00', 'avg': '90.00', 'max': '99.00'}",money,USD,Boston
173,47,"One-way Ticket, Local Transport",9,Transportation,2.4,2.7,3.0,"{'min': '2.40', 'avg': '2.70', 'max': '3.00'}",money,USD,Boston
174,48,"Taxi, price for 1 hour Waiting, Normal Tariff",9,Transportation,25.2,28.0,30.8,"{'min': '25.20', 'avg': '28.00', 'max': '30.80'}",money,USD,Boston
175,49,"Taxi, price for 1 km, Normal Tariff",9,Transportation,1.74,1.86,2.5,"{'min': '1.74', 'avg': '1.86', 'max': '2.50'}",money,USD,Boston
176,50,"Taxi Start, Normal Tariff",9,Transportation,2.6,3.0,5.0,"{'min': '2.60', 'avg': '3.00', 'max': '5.00'}",money,USD,Boston
177,52,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),9,Transportation,21845.0,23000.0,28000.0,"{'min': '21845.00', 'avg': '23000.00', 'max': '28000.00'}",money,USD,Boston
178,53,"Prepaid Mobile Tariff Local, price per 1 min, No Discounts or Plans",10,Utilities Per Month,0.05,0.09,0.13,"{'min': '0.05', 'avg': '0.09', 'max': '0.13'}",money,USD,Boston
179,54,"Basic utilities for 85 square meter Apartment including Electricity, Heating or Cooling, Water and Garbage",10,Utilities Per Month,100.0,172.53,300.0,"{'min': '100.00', 'avg': '172.53', 'max': '300.00'}",money,USD,Boston
180,55,"Internet, 60 Mbps or More, Unlimited Data, Cable/ADSL",10,Utilities Per Month,50.0,67.35,120.0,"{'min': '50.00', 'avg': '67.35', 'max': '120.00'}",money,USD,Boston
181,58,"Water, 0.33 liter Bottle",4,Markets,1.25,1.9,3.0,"{'min': '1.25', 'avg': '1.90', 'max': '3.00'}",money,USD,Boston
182,64,"Summer Dress in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,24.0,37.76,51.52,"{'min': '24.00', 'avg': '37.76', 'max': '51.52'}",money,USD,Boston
183,65,"Mortgage Interest Rate in Percentages for 20 Years Fixed-Rate, Yearly, Fixed-Rate",7,Salaries And Financing,3.62,4.02,4.42,,percent,,Boston
184,68,"Imported Beer, 0.33 liter Bottle",4,Markets,2.0,3.29,4.58,"{'min': '2.00', 'avg': '3.29', 'max': '4.58'}",money,USD,Boston
185,1,Price per square meter to Buy Apartment Outside of City Center,1,Buy Apartment,3229.17,4048.57,5400.0,"{'min': '3229.17', 'avg': '4048.57', 'max': '5400.00'}",money,USD,San Diego
186,2,Price per square meter to Buy Apartment in City Center,1,Buy Apartment,4843.76,6519.41,16457.15,"{'min': '4843.76', 'avg': '6519.41', 'max': '16457.15'}",money,USD,San Diego
187,3,"International Primary School, Yearly for 1 Child",2,Childcare,12000.0,20653.57,30000.0,"{'min': '12000.00', 'avg': '20653.57', 'max': '30000.00'}",money,USD,San Diego
188,4,"Private Preschool or Kindergarten, Monthly for 1 Child",2,Childcare,600.0,1101.36,1602.72,"{'min': '600.00', 'avg': '1101.36', 'max': '1602.72'}",money,USD,San Diego
189,5,"Pair of Jeans in a Chain Store Like George, H&M, Zara, etc.",3,Clothing And Shoes,35.0,55.61,88.0,"{'min': '35.00', 'avg': '55.61', 'max': '88.00'}",money,USD,San Diego
190,6,Pair of Leather Business Shoes,3,Clothing And Shoes,65.0,107.59,150.18,"{'min': '65.00', 'avg': '107.59', 'max': '150.18'}",money,USD,San Diego
191,7,"Pair of Running Shoes, Mid-Range Price",3,Clothing And Shoes,59.0,80.86,102.72,"{'min': '59.00', 'avg': '80.86', 'max': '102.72'}",money,USD,San Diego
192,9,"Apples, 1 kg",4,Markets,1.96,4.2,8.8,"{'min': '1.96', 'avg': '4.20', 'max': '8.80'}",money,USD,San Diego
193,10,"Banana, 1 kg",4,Markets,1.08,2.29,6.57,"{'min': '1.08', 'avg': '2.29', 'max': '6.57'}",money,USD,San Diego
194,11,"Beef Round or Equivalent Back Leg Red Meat, 1 kg ",4,Markets,8.8,14.02,22.05,"{'min': '8.80', 'avg': '14.02', 'max': '22.05'}",money,USD,San Diego
195,12,"Bottle of Wine, Mid-Range Price",4,Markets,7.0,13.0,20.0,"{'min': '7.00', 'avg': '13.00', 'max': '20.00'}",money,USD,San Diego
196,13,"Chicken Breasts, Boneless and Skinless, 1 kg",4,Markets,4.37,12.0,19.82,"{'min': '4.37', 'avg': '12.00', 'max': '19.82'}",money,USD,San Diego
197,14,"Domestic Beer, 0.5 liter Bottle",4,Markets,1.43,3.0,4.57,"{'min': '1.43', 'avg': '3.00', 'max': '4.57'}",money,USD,San Diego
198,15,"Eggs, 12 pack",4,Markets,1.69,3.29,4.89,"{'min': '1.69', 'avg': '3.29', 'max': '4.89'}",money,USD,San Diego
199,17,"Lettuce, 1 head",4,Markets,0.99,1.73,2.49,"{'min': '0.99', 'avg': '1.73', 'max': '2.49'}",money,USD,San Diego
